Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,352,Iceland,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,7184112,0
HS,2022,202203,Mar-22,0,0,2,Exports,352,Iceland,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,1996435,0
HS,2022,202203,Mar-22,0,0,1,Imports,360,Indonesia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,56190333,0
HS,2022,202203,Mar-22,0,0,2,Exports,360,Indonesia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,614789938,0
HS,2022,202203,Mar-22,0,0,1,Imports,376,Israel,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,104045000,0
HS,2022,202203,Mar-22,0,0,2,Exports,376,Israel,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,64317000,0
HS,2022,202203,Mar-22,0,0,1,Imports,381,Italy,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,1736501525,0
HS,2022,202203,Mar-22,0,0,2,Exports,381,Italy,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,3388490298,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,381,Italy,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,375545339,0
HS,2022,202203,Mar-22,0,0,4,Re-imports,381,Italy,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,2864074,0
HS,2022,202203,Mar-22,0,0,1,Imports,392,Japan,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,687027127,0
HS,2022,202203,Mar-22,0,0,2,Exports,392,Japan,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,325151838,0
HS,2022,202203,Mar-22,0,0,1,Imports,417,Kyrgyzstan,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,416623,0
HS,2022,202203,Mar-22,0,0,2,Exports,417,Kyrgyzstan,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,240744,0
HS,2022,202203,Mar-22,0,0,1,Imports,428,Latvia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,8812942,0
HS,2022,202203,Mar-22,0,0,2,Exports,428,Latvia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,6386528,0
HS,2022,202203,Mar-22,0,0,1,Imports,440,Lithuania,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,7025680,0
HS,2022,202203,Mar-22,0,0,2,Exports,440,Lithuania,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,27552593,0
HS,2022,202203,Mar-22,0,0,1,Imports,442,Luxembourg,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,36562663,0
HS,2022,202203,Mar-22,0,0,2,Exports,442,Luxembourg,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,22543484,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,442,Luxembourg,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,3384,0
HS,2022,202203,Mar-22,0,0,4,Re-imports,442,Luxembourg,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,29784,0
HS,2022,202203,Mar-22,0,0,1,Imports,446,"China, Macao SAR",,757,Switzerland,,TOTAL,All Commodities,,,,0.0,144504436,0
HS,2022,202203,Mar-22,0,0,2,Exports,446,"China, Macao SAR",,757,Switzerland,,TOTAL,All Commodities,,,,0.0,306178,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,446,"China, Macao SAR",,757,Switzerland,,TOTAL,All Commodities,,,,0.0,306178,0
HS,2022,202203,Mar-22,0,0,1,Imports,480,Mauritius,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,3521413,0
HS,2022,202203,Mar-22,0,0,2,Exports,480,Mauritius,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,2526876,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,480,Mauritius,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,44781,0
HS,2022,202203,Mar-22,0,0,1,Imports,484,Mexico,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,183590312,0
HS,2022,202203,Mar-22,0,0,2,Exports,484,Mexico,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,115757261,0
HS,2022,202203,Mar-22,0,0,1,Imports,498,Rep. of Moldova,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,3554386,0
HS,2022,202203,Mar-22,0,0,2,Exports,498,Rep. of Moldova,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,9765467,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,498,Rep. of Moldova,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,1675940,0
HS,2022,202203,Mar-22,0,0,1,Imports,516,Namibia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,3782506,0
HS,2022,202203,Mar-22,0,0,2,Exports,516,Namibia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,53494,0
HS,2022,202203,Mar-22,0,0,1,Imports,528,Netherlands,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,467435904,0
HS,2022,202203,Mar-22,0,0,2,Exports,528,Netherlands,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,860256361,0
HS,2022,202203,Mar-22,0,0,1,Imports,554,New Zealand,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,28310137,0
HS,2022,202203,Mar-22,0,0,2,Exports,554,New Zealand,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,9662931,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,554,New Zealand,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,2750932,0
HS,2022,202203,Mar-22,0,0,1,Imports,566,Nigeria,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,16712782,0
HS,2022,202203,Mar-22,0,0,2,Exports,566,Nigeria,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,8147984,0
HS,2022,202203,Mar-22,0,0,1,Imports,579,Norway,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,78881802,0
HS,2022,202203,Mar-22,0,0,2,Exports,579,Norway,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,43689098,0
HS,2022,202203,Mar-22,0,0,1,Imports,586,Pakistan,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,16506399,0
HS,2022,202203,Mar-22,0,0,2,Exports,586,Pakistan,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,898398,0
