Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,442,Luxembourg,,124,Canada,,TOTAL,All Commodities,,,,0.0,4126341,0
HS,2022,202203,Mar-22,0,0,2,Exports,442,Luxembourg,,124,Canada,,TOTAL,All Commodities,,,,0.0,8390016,0
HS,2022,202203,Mar-22,0,0,4,Re-imports,442,Luxembourg,,124,Canada,,TOTAL,All Commodities,,,,0.0,4532,0
HS,2022,202203,Mar-22,0,0,1,Imports,446,"China, Macao SAR",,124,Canada,,TOTAL,All Commodities,,,,0.0,3930134,0
HS,2022,202203,Mar-22,0,0,2,Exports,446,"China, Macao SAR",,124,Canada,,TOTAL,All Commodities,,,,0.0,32834,0
HS,2022,202203,Mar-22,0,0,1,Imports,480,Mauritius,,124,Canada,,TOTAL,All Commodities,,,,0.0,741960,0
HS,2022,202203,Mar-22,0,0,2,Exports,480,Mauritius,,124,Canada,,TOTAL,All Commodities,,,,0.0,349176,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,480,Mauritius,,124,Canada,,TOTAL,All Commodities,,,,0.0,2257,0
HS,2022,202203,Mar-22,0,0,1,Imports,484,Mexico,,124,Canada,,TOTAL,All Commodities,,,,0.0,1206900089,0
HS,2022,202203,Mar-22,0,0,2,Exports,484,Mexico,,124,Canada,,TOTAL,All Commodities,,,,0.0,1440258437,0
HS,2022,202203,Mar-22,0,0,1,Imports,498,Rep. of Moldova,,124,Canada,,TOTAL,All Commodities,,,,0.0,569498,0
HS,2022,202203,Mar-22,0,0,2,Exports,498,Rep. of Moldova,,124,Canada,,TOTAL,All Commodities,,,,0.0,2646253,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,498,Rep. of Moldova,,124,Canada,,TOTAL,All Commodities,,,,0.0,401500,0
HS,2022,202203,Mar-22,0,0,1,Imports,516,Namibia,,124,Canada,,TOTAL,All Commodities,,,,0.0,1195246,0
HS,2022,202203,Mar-22,0,0,2,Exports,516,Namibia,,124,Canada,,TOTAL,All Commodities,,,,0.0,4065,0
HS,2022,202203,Mar-22,0,0,1,Imports,528,Netherlands,,124,Canada,,TOTAL,All Commodities,,,,0.0,207960346,0
HS,2022,202203,Mar-22,0,0,2,Exports,528,Netherlands,,124,Canada,,TOTAL,All Commodities,,,,0.0,449144588,0
HS,2022,202203,Mar-22,0,0,1,Imports,554,New Zealand,,124,Canada,,TOTAL,All Commodities,,,,0.0,64550876,0
HS,2022,202203,Mar-22,0,0,2,Exports,554,New Zealand,,124,Canada,,TOTAL,All Commodities,,,,0.0,69028112,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,554,New Zealand,,124,Canada,,TOTAL,All Commodities,,,,0.0,1575813,0
HS,2022,202203,Mar-22,0,0,1,Imports,566,Nigeria,,124,Canada,,TOTAL,All Commodities,,,,0.0,48406731,0
HS,2022,202203,Mar-22,0,0,2,Exports,566,Nigeria,,124,Canada,,TOTAL,All Commodities,,,,0.0,352088716,0
HS,2022,202203,Mar-22,0,0,1,Imports,579,Norway,,124,Canada,,TOTAL,All Commodities,,,,0.0,389926431,0
HS,2022,202203,Mar-22,0,0,2,Exports,579,Norway,,124,Canada,,TOTAL,All Commodities,,,,0.0,115223317,0
