date,avg
2024-10-29 06:36:00+10:00,52.0
2024-10-29 06:36:00+10:00,52.0
2024-10-29 06:37:00+10:00,53.0
2024-10-29 06:37:00+10:00,53.0
2024-10-29 06:40:00+10:00,53.0
2024-10-29 06:40:00+10:00,53.0
2024-10-29 07:29:00+10:00,56.0
2024-10-29 07:29:00+10:00,56.0
2024-10-29 07:31:00+10:00,57.0
2024-10-29 07:31:00+10:00,57.0
2024-10-29 07:38:00+10:00,58.5
2024-10-29 07:38:00+10:00,58.5
2024-10-29 07:44:00+10:00,56.0
2024-10-29 07:44:00+10:00,56.0
2024-10-29 07:48:00+10:00,57.0
2024-10-29 07:48:00+10:00,57.0
2024-10-29 07:51:00+10:00,89.0
2024-10-29 07:51:00+10:00,89.0
2024-10-29 08:05:00+10:00,92.00000000000001
2024-10-29 08:05:00+10:00,92.0
2024-10-29 08:12:00+10:00,94.0
2024-10-29 08:12:00+10:00,94.0
2024-10-29 08:20:00+10:00,86.0
2024-10-29 08:20:00+10:00,86.0
2024-10-29 08:27:00+10:00,84.0
2024-10-29 08:27:00+10:00,84.0
2024-10-29 08:35:00+10:00,65.0
2024-10-29 08:35:00+10:00,65.0
2024-10-29 08:37:00+10:00,76.0
2024-10-29 08:37:00+10:00,76.0
2024-10-29 08:43:00+10:00,70.0
2024-10-29 08:43:00+10:00,70.0
2024-10-29 08:54:00+10:00,74.0
2024-10-29 08:54:00+10:00,74.0
2024-10-29 08:57:00+10:00,65.0
2024-10-29 08:57:00+10:00,65.0
2024-10-29 09:00:00+10:00,72.0
2024-10-29 09:00:00+10:00,72.0
2024-10-29 09:07:00+10:00,63.0
2024-10-29 09:07:00+10:00,63.0
2024-10-29 09:11:00+10:00,74.0
2024-10-29 09:11:00+10:00,74.0
2024-10-29 09:16:00+10:00,69.0
2024-10-29 09:16:00+10:00,69.0
2024-10-29 09:21:00+10:00,66.0
2024-10-29 09:21:00+10:00,66.0
2024-10-29 09:25:00+10:00,58.0
2024-10-29 09:25:00+10:00,58.0
2024-10-29 09:30:00+10:00,59.0
2024-10-29 09:30:00+10:00,59.0
2024-10-29 09:39:00+10:00,65.0
2024-10-29 09:39:00+10:00,65.0
2024-10-29 09:40:00+10:00,59.9101036381781
2024-10-29 09:40:00+10:00,59.9101036381781
2024-10-29 09:49:00+10:00,65.0
2024-10-29 09:49:00+10:00,65.0
2024-10-29 09:54:00+10:00,59.0
2024-10-29 09:54:00+10:00,59.0
2024-10-29 09:57:00+10:00,59.0
2024-10-29 09:57:00+10:00,59.0
2024-10-29 10:01:00+10:00,59.0
2024-10-29 10:01:00+10:00,59.0
2024-10-29 10:09:00+10:00,71.0
2024-10-29 10:09:00+10:00,71.0
2024-10-29 10:11:00+10:00,67.0
2024-10-29 10:11:00+10:00,67.0
2024-10-29 10:14:00+10:00,102.0
2024-10-29 10:14:00+10:00,102.0
2024-10-29 10:15:00+10:00,93.6091953994088
2024-10-29 10:15:00+10:00,93.60919539940879
2024-10-29 10:16:00+10:00,96.0
2024-10-29 10:16:00+10:00,96.0
2024-10-29 10:21:00+10:00,77.34426229508198
2024-10-29 10:21:00+10:00,77.34426229508198
2024-10-29 10:22:00+10:00,73.62676056338029
2024-10-29 10:22:00+10:00,73.62676056338029
2024-10-29 10:24:00+10:00,74.0
2024-10-29 10:24:00+10:00,74.0
2024-10-29 10:26:00+10:00,67.0
2024-10-29 10:26:00+10:00,67.0
2024-10-29 10:28:00+10:00,107.0
2024-10-29 10:28:00+10:00,107.0
2024-10-29 10:29:00+10:00,84.78089887640449
2024-10-29 10:29:00+10:00,84.78089887640449
2024-10-29 10:30:00+10:00,87.8622828784119
2024-10-29 10:30:00+10:00,87.8622828784119
2024-10-29 10:31:00+10:00,99.4659090909091
2024-10-29 10:31:00+10:00,99.4659090909091
2024-10-29 10:32:00+10:00,79.2
2024-10-29 10:32:00+10:00,79.2
2024-10-29 10:33:00+10:00,80.21428571428572
2024-10-29 10:33:00+10:00,80.21428571428572
2024-10-29 10:39:00+10:00,66.0
2024-10-29 10:39:00+10:00,66.0
2024-10-29 10:40:00+10:00,65.0
2024-10-29 10:40:00+10:00,65.0
2024-10-29 10:48:00+10:00,68.0
2024-10-29 10:48:00+10:00,68.0
2024-10-29 10:59:00+10:00,59.0
2024-10-29 10:59:00+10:00,59.0
2024-10-29 11:00:00+10:00,66.89412689208984
2024-10-29 11:00:00+10:00,66.89412689208984
2024-10-29 11:04:00+10:00,60.0
2024-10-29 11:04:00+10:00,60.0
2024-10-29 11:10:00+10:00,56.0
2024-10-29 11:10:00+10:00,56.0
2024-10-29 11:13:00+10:00,59.0
2024-10-29 11:13:00+10:00,59.0
2024-10-29 11:15:00+10:00,60.0
2024-10-29 11:15:00+10:00,60.0
2024-10-29 11:24:00+10:00,62.00000000000001
2024-10-29 11:24:00+10:00,62.00000000000001
2024-10-29 11:29:00+10:00,63.0
2024-10-29 11:29:00+10:00,63.0
2024-10-29 11:33:00+10:00,58.0
2024-10-29 11:33:00+10:00,58.0
